,search input,google maps name,id,category,address,score,reviews,expense,extra info,maandag,dinsdag,woensdag,donderdag,vrijdag,zaterdag,zondag
0,Antwerpen,Carrefour market KONTICH,4CGW+QQ Kontich,Supermarkt,"Mechelsesteenweg 202, 2550 Kontich","4,0",23,no expense available,no extra info available,13:00–20:00. Openingstijden gedurende de week verbergen,08:00–20:00,08:00–20:00,08:00–20:00,(Labour Day) 08:00–20:00 Openingstijden kunnen afwijken,08:00–20:00,08:00–20:00
1,Antwerpen,Shanly,6C53+64 Antwerpen,Groothandel in groente en fruit,"Paleisstraat 6, 2018 Antwerpen",no reviews available,no reviews available,no expense available,no extra info available,18:00–01:00. Openingstijden gedurende de week verbergen,18:00–01:00,18:00–01:00,18:00–01:00,(Labour Day) 18:00–01:00 Openingstijden kunnen afwijken,Gesloten,Gesloten
2,Antwerpen,Shanly,6C53+64 Antwerpen,Groothandel in groente en fruit,"Paleisstraat 6, 2018 Antwerpen",no reviews available,no reviews available,no expense available,no extra info available,18:00–01:00. Openingstijden gedurende de week verbergen,18:00–01:00,18:00–01:00,18:00–01:00,(Labour Day) 18:00–01:00 Openingstijden kunnen afwijken,Gesloten,Gesloten
3,Antwerpen,Smatch,43J2+MF Waasmunster,Supermarkt,"Grote Baan 121, 9250 Waasmunster","3,7",98,no expense available,no extra info available,12:30–19:30. Openingstijden gedurende de week verbergen,08:00–19:30,08:00–19:30,08:00–19:30,(Labour Day) 08:00–19:30 Openingstijden kunnen afwijken,08:00–19:30,08:00–12:30
4,Antwerpen,Shanly,6C53+64 Antwerpen,Groothandel in groente en fruit,"Paleisstraat 6, 2018 Antwerpen",no reviews available,no reviews available,no expense available,no extra info available,18:00–01:00. Openingstijden gedurende de week verbergen,18:00–01:00,18:00–01:00,18:00–01:00,(Labour Day) 18:00–01:00 Openingstijden kunnen afwijken,Gesloten,Gesloten
5,Antwerpen,Shanly,6C53+64 Antwerpen,Groothandel in groente en fruit,"Paleisstraat 6, 2018 Antwerpen",no reviews available,no reviews available,no expense available,no extra info available,18:00–01:00. Openingstijden gedurende de week verbergen,18:00–01:00,18:00–01:00,18:00–01:00,(Labour Day) 18:00–01:00 Openingstijden kunnen afwijken,Gesloten,Gesloten
6,Antwerpen,Shanly,6C53+64 Antwerpen,Groothandel in groente en fruit,"Paleisstraat 6, 2018 Antwerpen",no reviews available,no reviews available,no expense available,no extra info available,18:00–01:00. Openingstijden gedurende de week verbergen,18:00–01:00,18:00–01:00,18:00–01:00,(Labour Day) 18:00–01:00 Openingstijden kunnen afwijken,Gesloten,Gesloten
7,Antwerpen,Shanly,6C53+64 Antwerpen,Groothandel in groente en fruit,"Paleisstraat 6, 2018 Antwerpen",no reviews available,no reviews available,no expense available,no extra info available,18:00–01:00. Openingstijden gedurende de week verbergen,18:00–01:00,18:00–01:00,18:00–01:00,(Labour Day) 18:00–01:00 Openingstijden kunnen afwijken,Gesloten,Gesloten
8,Antwerpen,Shanly,6C53+64 Antwerpen,Groothandel in groente en fruit,"Paleisstraat 6, 2018 Antwerpen",no reviews available,no reviews available,no expense available,no extra info available,18:00–01:00. Openingstijden gedurende de week verbergen,18:00–01:00,18:00–01:00,18:00–01:00,(Labour Day) 18:00–01:00 Openingstijden kunnen afwijken,Gesloten,Gesloten
9,Antwerpen,Shanly,6C53+64 Antwerpen,Groothandel in groente en fruit,"Paleisstraat 6, 2018 Antwerpen",no reviews available,no reviews available,no expense available,no extra info available,18:00–01:00. Openingstijden gedurende de week verbergen,18:00–01:00,18:00–01:00,18:00–01:00,(Labour Day) 18:00–01:00 Openingstijden kunnen afwijken,Gesloten,Gesloten
10,Antwerpen,Shanly,6C53+64 Antwerpen,Groothandel in groente en fruit,"Paleisstraat 6, 2018 Antwerpen",no reviews available,no reviews available,no expense available,no extra info available,18:00–01:00. Openingstijden gedurende de week verbergen,18:00–01:00,18:00–01:00,18:00–01:00,(Labour Day) 18:00–01:00 Openingstijden kunnen afwijken,Gesloten,Gesloten
11,Antwerpen,Shanly,6C53+64 Antwerpen,Groothandel in groente en fruit,"Paleisstraat 6, 2018 Antwerpen",no reviews available,no reviews available,no expense available,no extra info available,18:00–01:00. Openingstijden gedurende de week verbergen,18:00–01:00,18:00–01:00,18:00–01:00,(Labour Day) 18:00–01:00 Openingstijden kunnen afwijken,Gesloten,Gesloten
