number,url,search input,google maps name,id,category,address,score,reviews,expense,extra info,maandag,dinsdag,woensdag,donderdag,vrijdag,zaterdag,zondag
0,"https://www.google.be/maps/place/Louis+Delhaize/@50.8550205,4.3050067,12z/data=!3m1!5s0x47c3ddbeb53437bb:0x7edf0a3a9009d665!4m8!1m2!2m1!1sSupermarkt!3m4!1s0x47c3ddba49ff6d01:0x108a039e05fe2b90!8m2!3d50.8793937!4d4.4823635",Brussel,Louis Delhaize,VFHJ+QW Zaventem,Supermarkt,"Aankomst Hall Arrivée, 1930 Zaventem","3,9",67,no expense available,no extra info available,08:00–16:00,08:00–16:00,08:00–16:00. Openingstijden gedurende de week verbergen,Gesloten,(Labour Day) Gesloten Afwijkende openingstijden,Gesloten,Gesloten
1,"https://www.google.be/maps/place/Carrefour+express/@50.8550205,4.3050067,12z/data=!4m8!1m2!2m1!1sSupermarkt!3m4!1s0x47c3dde3ff05b5ad:0xd9af1fbe96ab12ba!8m2!3d50.9098828!4d4.5128479",Brussel,Carrefour express,WG57+X4 Steenokkerzeel,Supermarkt,"Fuérisonplaats 10, 1820 Steenokkerzeel","3,6",8,no expense available,no extra info available,Gesloten,08:00–20:00,08:00–20:00. Openingstijden gedurende de week verbergen,08:00–20:00,(Labour Day) 08:00–20:00 Openingstijden kunnen afwijken,08:00–20:00,08:00–19:00
2,"https://www.google.be/maps/place/Supermarkt/@50.8550205,4.3050067,12z/data=!4m8!1m2!2m1!1sSupermarkt!3m4!1s0x47c3c38095c3852f:0xf5600e0886bbb311!8m2!3d50.8488941!4d4.3541874",Brussel,Supermarkt,R9X3+HM Brussel,Supermarkt,"Schildknaapsstraat 37, 1000 Brussel","3,7",31,no expense available,no extra info available,08:00–22:00,08:00–22:00,08:00–22:00. Openingstijden gedurende de week verbergen,08:00–22:00,(Labour Day) 08:00–22:00 Openingstijden kunnen afwijken,08:00–22:00,08:00–22:00
3,"https://www.google.be/maps/place/Albert+Heijn+Wemmel/@50.8550205,4.3050067,12z/data=!4m8!1m2!2m1!1sSupermarkt!3m4!1s0x47c3c22f05ae2a07:0xac54fb03e6fd6733!8m2!3d50.8990637!4d4.3252708",Brussel,Albert Heijn Wemmel,V8XG+J4 Wemmel,Supermarkt,"Romeinsesteenweg 868, 1780 Wemmel","4,1",1,no expense available,no extra info available,12:00–20:00,08:00–20:00,08:00–20:00. Openingstijden gedurende de week verbergen,08:00–20:00,(Labour Day) 08:00–12:00 Openingstijden kunnen afwijken,08:00–20:00,08:00–12:00
4,"https://www.google.be/maps/place/Delhaize/@50.8550205,4.3050067,12z/data=!4m8!1m2!2m1!1sSupermarkt!3m4!1s0x47c3dd73c25b0c1f:0x75ce24928b45a08e!8m2!3d50.9066035!4d4.4627024",Brussel,Delhaize,WF47+J3 Steenokkerzeel,Supermarkt,"Vliegveld 770 Steenokkerzeel, 1820 BRUCARGO","4,3",839,no expense available,no extra info available,08:00–20:00,08:00–20:00,08:00–20:00. Openingstijden gedurende de week verbergen,08:00–20:00,(Labour Day) 08:00–21:00 Openingstijden kunnen afwijken,08:00–20:00,Gesloten
5,"https://www.google.be/maps/place/Louis+Delhaize/@50.8550205,4.3050067,12z/data=!4m8!1m2!2m1!1sSupermarkt!3m4!1s0x47c3ddabfd7b1ec5:0x41b37d9b9d98f1cf!8m2!3d50.8892486!4d4.471247",Brussel,Louis Delhaize,VFQC+MF Zaventem,Supermarkt,"Vilvoordelaan 92, 1930 Zaventem","3,9",217,no expense available,no extra info available,08:30–20:00,Gesloten,08:30–20:00. Openingstijden gedurende de week verbergen,08:30–20:00,(Labour Day) 08:30–20:00 Openingstijden kunnen afwijken,08:30–20:00,08:30–20:00
6,"https://www.google.be/maps/place/OKay+Diegem/@50.8550205,4.3050067,12z/data=!4m8!1m2!2m1!1sSupermarkt!3m4!1s0x47c3dd233d316e27:0xa509c5fe34bfcf33!8m2!3d50.8959079!4d4.4375037",Brussel,OKay Diegem,VCWQ+92 Machelen,Supermarkt,"Woluwelaan 113, 1831 Machelen","4,3",286,no expense available,no extra info available,08:30–19:30,08:30–19:30,08:30–19:30. Openingstijden gedurende de week verbergen,08:30–19:30,(Labour Day) 08:30–19:30 Openingstijden kunnen afwijken,08:30–19:30,Gesloten
7,"https://www.google.be/maps/place/Delhaize+Overijse/@50.8550205,4.3050067,12z/data=!4m8!1m2!2m1!1sSupermarkt!3m4!1s0x47c3d9897f4def71:0xc491fdb4fa5a4c27!8m2!3d50.7845079!4d4.502091",Brussel,Delhaize Overijse,QGM2+RR Overijse,Supermarkt,"Brusselsesteenweg 399, 3090 Overijse","4,2",762,no expense available,no extra info available,08:00–20:00,08:00–20:00,08:00–20:00. Openingstijden gedurende de week verbergen,08:00–20:00,(Labour Day) Gesloten Openingstijden kunnen afwijken,08:00–20:00,Gesloten
8,"https://www.google.be/maps/place/Carrefour+market/@50.8550205,4.3050067,12z/data=!4m8!1m2!2m1!1sSupermarkt!3m4!1s0x47c3c3875b2b27e9:0xc482a05f5c0f4668!8m2!3d50.8486759!4d4.3513144",Brussel,Carrefour market,R9X2+FG Brussel,Supermarkt,"Rue Marché Aux Poulets/kieken, 1000 Bruxelles","3,9",328,no expense available,no extra info available,07:00–23:00,07:00–23:00,07:00–23:00. Openingstijden gedurende de week verbergen,07:00–22:00,(Labour Day) 07:00–22:00 Afwijkende openingstijden,07:00–22:00,07:00–22:00
9,"https://www.google.be/maps/place/Carrefour+market/@50.8550205,4.3050067,12z/data=!4m8!1m2!2m1!1sSupermarkt!3m4!1s0x47c3c22dbcb69df5:0x5d3d0803bd06f89c!8m2!3d50.8937567!4d4.3198641",Brussel,Carrefour market,V8V9+GW Brussel,Supermarkt,"Dikke-Beuklaan 115, 1000 Brussel","4,0",93,no expense available,no extra info available,08:00–20:00,08:00–20:00,08:00–20:00. Openingstijden gedurende de week verbergen,08:30–19:00,(Labour Day) 08:30–19:00 Afwijkende openingstijden,08:30–19:00,Gesloten
