,url,search input,google maps name,id,category,address,score,reviews,expense,extra info,maandag,dinsdag,woensdag,donderdag,vrijdag,zaterdag,zondag
0,"https://www.google.be/maps/place/Match/@50.8724198,4.6906375,14z/data=!4m15!1m9!2m8!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!3m4!1s0x47c160d6bfa2f0ef:0x1ff9b1a80877f4a3!8m2!3d50.8798453!4d4.707588",Leuven,Match,VPH5+W2 Leuven,Supermarkt,"Bondgenotenlaan 58, 3000 Leuven","3,5",544,no expense available,no extra info available,08:00–19:30,08:00–19:30,08:00–19:30. Openingstijden gedurende de week verbergen,08:00–19:30,(Labour Day) 08:00–19:30 Openingstijden kunnen afwijken,08:00–19:30,Gesloten
1,"https://www.google.be/maps/place/SPAR/@50.8724198,4.6906375,14z/data=!4m15!1m9!2m8!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!3m4!1s0x47c160d3e35beaef:0xaab177877c40cc64!8m2!3d50.8815422!4d4.7098803",Leuven,SPAR,VPJ5+JX Leuven,Supermarkt,"Diestsestraat 173, 3000 Leuven","3,9",247,no expense available,no extra info available,08:00–20:00,08:00–20:00,08:00–20:00. Openingstijden gedurende de week verbergen,08:00–20:00,(Labour Day) Gesloten Afwijkende openingstijden,08:00–20:00,08:00–14:00
2,"https://www.google.be/maps/place/louis+delhaize+Leuven/@50.8724198,4.6906375,14z/data=!4m15!1m9!2m8!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!3m4!1s0x47c160d6255224f1:0x5ee8451b4f35744!8m2!3d50.8765567!4d4.7062051",Leuven,louis delhaize Leuven,VPG4+JF Leuven,Supermarkt,"Tiensestraat 86, 3000 Leuven","4,0",45,no expense available,no extra info available,08:00–20:00,08:00–20:00,08:00–20:00. Openingstijden gedurende de week verbergen,08:00–20:00,(Labour Day) 08:00–20:00 Openingstijden kunnen afwijken,09:00–20:00,10:00–20:00
3,"https://www.google.be/maps/place/Smatch+Kessel-Lo/@50.8724198,4.6906375,14z/data=!4m15!1m9!2m8!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!3m4!1s0x47c160d6db1ea7a1:0x7cd9eba6ee23dcc9!8m2!3d50.8822974!4d4.7173416",Leuven,Smatch Kessel-Lo,VPJ8+WW Leuven,Kruidenier,"Benedenplein 3, 3010 Leuven","3,7",159,no expense available,no extra info available,08:00–19:30,08:00–19:30,08:00–19:30. Openingstijden gedurende de week verbergen,08:00–19:30,(Labour Day) 08:00–19:30 Openingstijden kunnen afwijken,08:00–19:30,Gesloten
4,"https://www.google.be/maps/place/Carrefour+market/@50.8724198,4.6906375,14z/data=!4m15!1m9!2m8!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!3m4!1s0x47c167286ce18b15:0xc82c0daf092508aa!8m2!3d50.8763148!4d4.7259999",Leuven,Carrefour market,VPGG+G9 Leuven,Supermarkt,"Koning Albertlaan 147, 3010 Leuven","3,8",71,no expense available,no extra info available,13:00–20:00,08:00–20:00,08:00–20:00. Openingstijden gedurende de week verbergen,08:00–20:00,(Labour Day) 08:00–21:00 Openingstijden kunnen afwijken,08:00–19:00,08:00–13:00
5,"https://www.google.be/maps/place/SPAR+Leuven+Vesalius/@50.8724198,4.6906375,14z/data=!4m15!1m9!2m8!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!3m4!1s0x47c1612a0428010d:0x273e849ff4bc30d1!8m2!3d50.8752028!4d4.709571",Leuven,SPAR Leuven Vesalius,VPG5+3R Leuven,Supermarkt,"Tiensestraat 166, 3000 Leuven","4,0",291,no expense available,no extra info available,08:00–19:30,08:00–19:30,08:00–19:30. Openingstijden gedurende de week verbergen,08:00–19:30,(Labour Day) Gesloten Afwijkende openingstijden,08:00–19:00,Gesloten
6,"https://www.google.be/maps/place/Carrefour+express/@50.8724198,4.6906375,14z/data=!4m15!1m9!2m8!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!3m4!1s0x47c1672b4b4a2d8d:0x84601c3cc7abf48d!8m2!3d50.8820839!4d4.7139613",Leuven,Carrefour express,VPJ7+RH Leuven,Kruidenier,"Tiensevest 10A, 3000 Leuven","2,4",29,no expense available,no extra info available,07:00–20:00,07:00–20:00,07:00–20:00. Openingstijden gedurende de week verbergen,07:00–20:00,(Labour Day) 07:00–20:30 Openingstijden kunnen afwijken,09:00–20:00,09:00–20:00
7,"https://www.google.be/maps/place/Carrefour+Express/@50.8724198,4.6906375,14z/data=!4m15!1m9!2m8!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!3m4!1s0x47c160d87457d161:0xc8cf04288f1e9d4!8m2!3d50.8761431!4d4.7002758",Leuven,Carrefour Express,VPG2+F4 Leuven,Kruidenier,"Naamsestraat 48, 3000 Leuven","3,9",15,no expense available,no extra info available,08:00–20:00,08:00–20:00,08:00–20:00. Openingstijden gedurende de week verbergen,08:00–20:00,(Labour Day) 08:00–20:00 Openingstijden kunnen afwijken,Gesloten,08:00–20:00
8,"https://www.google.be/maps/place/SPAR+CG+Heverlee/@50.8724198,4.6906375,14z/data=!4m15!1m9!2m8!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!3m4!1s0x47c1613884860f8d:0x2a9f2c8ed3a985af!8m2!3d50.855877!4d4.694992",Leuven,SPAR CG Heverlee,VM4V+9X Leuven,Supermarkt,"Naamsesteenweg 380, 3001 Leuven","3,9",274,no expense available,no extra info available,09:00–19:00,09:00–19:00,09:00–19:00. Openingstijden gedurende de week verbergen,09:00–19:00,(Labour Day) 09:00–19:00 Openingstijden kunnen afwijken,09:00–18:00,Gesloten
9,"https://www.google.be/maps/place/Carrefour+Express/@50.8724198,4.6906375,14z/data=!4m15!1m9!2m8!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!3m4!1s0x47c160d9386044b9:0x4225273f9e979507!8m2!3d50.8802293!4d4.6974014",Leuven,Carrefour Express,VMJW+3X Leuven,Kruidenier,"Brusselsestraat 60, 3000 Leuven","3,8",30,no expense available,no extra info available,08:00–20:00,08:00–20:00,08:00–20:00. Openingstijden gedurende de week verbergen,08:00–20:00,(Labour Day) Gesloten Openingstijden kunnen afwijken,08:00–20:00,08:00–20:00
